,count,mean,std,min,25%,50%,75%,max
Closed PnL,479.0,21408.114716713982,71930.15466053781,-419020.225731,5.357891499999999,1118.387284,10629.8569945,616413.032233
Size USD,479.0,2486636.2705636746,6290451.598699636,0.11,98534.97,327218.02,1649485.775,55914617.49
value,479.0,60.05427974947808,18.68762085092749,10.0,48.0,67.0,74.0,94.0
